tokens,aspect_tags,author,num_aspects,has_aspect,fold
"['Um', 'livrar', 'muito', 'bom', 'que', 'retratar', 'o', 'cruel', 'realidade', 'de', 'o', 'garoto', 'de', 'ruir', 'de', 'o', 'Bahia', 'de', 'o', 'década', 'de', '30', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['Uma', 'realidade', 'que', 'não', 'dever', 'ser', 'muito', 'diferente', 'hoje', 'em', 'dia', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Ainda', 'assim', 'não', 'me', 'apaixonar', 'muito', 'por', 'o', 'livrar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",amado,1,1,1
"['Sou', 'um', 'fervoroso', 'defensor', 'de', 'o', 'sexo', 'feminino', 'e', 'desprezar', 'qualquer', 'coisa', 'que', 'relacionar', 'violência', 'contra', 'o', 'mulher', 'e', 'o', 'livrar', 'mostrar', 'um', 'pouco', 'de', 'isso', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Não', 'que', 'eu', 'querer', 'que', 'o', 'autor', 'criar', 'herói', 'romancista', 'em', 'o', 'figurar', 'de', 'o', 'garoto', 'mas', 'em', 'cena', 'comer', 'quando', 'Pedro-Bala', 'estrupa', 'umar', 'menino', 'que', 'passar', 'em', 'o', 'praia', 'A', 'A', 'noite', 'ou', 'quano', 'de', 'o', 'menino', 'tentar', 'estrupar', 'Dora', 'o', 'protagonista', 'despencar', 'em', 'o', 'meu', 'conceito', 'e', 'eu', 'não', 'sentir', 'mais', 'peno', 'ou', 'afeição', 'por', 'ele', 'em', 'o', 'história', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['Quem', 'ter', 'pavor', 'só', 'de', 'ouvir', 'o', 'nome', 'Capitães', 'de', 'o', 'Areia', ',', 'por', 'causar', 'de', 'o', 'Fuvest', ',', 'ficar', 'admirar', 'com', 'quão', 'bom', 'ser', 'esse', 'livrar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",amado,1,1,1
"['Jorge', 'Amado', 'escrever', 'de', 'formar', 'envolvente', ',', 'e', 'em', 'o', 'fazer', 'sentir', 'vontade', 'de', 'ajudar', 'cada', 'um', 'de', 'o', 'personagem', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Não', 'ter', 'palavra', 'pra', 'esse', 'livrar', '.']","[0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Amei', ',', 'de', 'paixão', ',', 'ler', '-', 'o', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Amei', 'o', 'história', ',', 'o', 'personagem', ',', 'todo', 'o', 'riqueza', 'de', 'detalhe', ',', 'simplesmente', 'tudo', '.']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0]",amado,4,1,1
"['e', 'lírico']","[0, 0]",amado,0,0,1
"['Em', 'o', 'último', 'dia', 'de', '2011', ',', 'o', 'menino', 'de', 'Jorge', 'Amado', ',', 'um', 'por', 'um', ',', 'tirar', '-', 'me', 'de', 'o', 'zonar', 'de', 'confortar', 'e', ',', 'por', 'o', 'mão', ',', 'me', 'conduzir', 'por', 'o', 'ruela', 'de', 'o', 'Salvador', 'de', 'o', 'ano', '1930', ';', 'conduzir', '-', 'me', 'o', 'umar', 'realidade', 'nu', ',', 'cru', 'e', 'atual', ',', 'mas', 'o', 'o', 'mesmo', 'tempo', 'belo', 'e', 'lírico', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['""', 'Capitães', 'de', 'o', 'arear', '""', 'ser', 'umar', 'de', 'o', 'leitura', 'recente', 'que', 'mais', 'me', 'arrebatar', '.']","[1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['Eu', 'de', 'verdade', 'não', 'saber', 'o', 'que', 'esperar', 'de', 'o', 'livrar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Digo', ',', 'não', 'saber', 'nem', 'o', 'sinopse', 'antar', 'de', 'começar', 'o', 'ler', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['E', 'ser', 'tão', 'bom', 'quantum', 'surpreendente', 'descobrir', 'o', 'história', 'tão', 'bonito', 'que', 'estar', 'guardar', 'em', 'esse', 'página', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
