tokens,aspect_tags,review,author,sentence,total_aspects,has_aspect,fold
"['Um', 'livro', 'muito', 'bom', 'que', 'retrata', 'a', 'cruel', 'realidade', 'de', 'os', 'garotos', 'de', 'rua', 'de', 'a', 'Bahia', 'de', 'a', 'década', 'de', '30', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,amado,1,1,1,1
"['Uma', 'realidade', 'que', 'não', 'deve', 'ser', 'muito', 'diferente', 'hoje', 'em', 'dia', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,amado,2,0,0,1
"['Ainda', 'assim', 'não', 'me', 'apaixonei', 'muito', 'por', 'o', 'livro', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,amado,3,1,1,1
"['Sou', 'um', 'fervoroso', 'defensor', 'de', 'o', 'sexo', 'feminino', 'e', 'desprezo', 'qualquer', 'coisa', 'que', 'relacione', 'violência', 'contra', 'a', 'mulher', 'e', 'o', 'livro', 'mostra', 'um', 'pouco', 'de', 'isso', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,amado,4,0,0,1
"['Não', 'que', 'eu', 'quisesse', 'que', 'o', 'autor', 'criasse', 'heróis', 'romancistas', 'em', 'as', 'figuras', 'de', 'os', 'garotos', 'mas', 'em', 'cenas', 'como', 'quando', 'Pedro-Bala', 'estrupa', 'uma', 'menina', 'que', 'passa', 'em', 'a', 'praia', 'A', 'A', 'noite', 'ou', 'quano', 'de', 'os', 'meninos', 'tentam', 'estrupar', 'Dora', 'os', 'protagonistas', 'despencam', 'em', 'o', 'meu', 'conceito', 'e', 'eu', 'não', 'sinto', 'mais', 'pena', 'ou', 'afeição', 'por', 'eles', 'em', 'a', 'história', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,amado,5,1,1,1
"['Areia', '-', 'Quem', 'sabe', 'o', 'melhor', 'livro', 'que', 'a', 'Fuvest', 'e', 'a', 'Unicamp', 'mandou', 'ler']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,amado,45,0,0,1
"['O', 'livro', 'é', 'interessante', 'de', 'o', 'começo', 'a', 'o', 'fim', ',', 'ver', 'o', 'jeito', 'que', 'o', 'autor', 'se', 'preocupou', 'em', 'contar', 'a', 'história', 'de', 'cada', 'um', 'de', 'esses', 'meninos', 'que', 'vivem', 'em', 'o', 'Trapiche', 'falando', 'sobre', 'seus', 'medos', ',', 'personalidade', 'e', 'sonhos', ',', 'há', 'horas', 'que', 'o', 'leitor', 'simplesmente', 'se', 'esquece', 'de', 'trata', 'apenas', 'de', 'crianças', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,amado,46,1,1,1
"['noites', 'de', 'o', 'trapiche', ',', 'o', 'menino', 'ouvia', 'o', 'chamado', 'de', 'Deus']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17,amado,86,0,0,1
"['""', 'Em', 'as', 'noites', 'de', 'o', 'trapiche', ',', 'o', 'menino', 'ouvia', 'o', 'chamado', 'de', 'Deus', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17,amado,87,0,0,1
"['Era', 'uma', 'voz', 'poderosa', 'dentro', 'de', 'ele', '.']","[0, 0, 0, 0, 0, 0, 0, 0]",17,amado,88,0,0,1
