tokens,aspect_tags,total_aspects,has_aspect,fold,review
"['Excelente', 'smart', 'tv', '.', 'E', 'foi', 'entregue', 'vem', 'antes', 'do', 'prazo', 'informado', '.']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,1
"['Imagem', 'ótima', 'recursos', 'de', 'web', 'bons', ',', 'recomendo', 'não', 'vai', 'se', 'arrepender']","[1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0]",2,1,1,2
"['produto', 'ótimo', ',', 'entrega', 'antes', 'do', 'prazo', 'previsto', ',', 'parabéns', 'a', 'parceria', '.', 'continuo', 'comprando', '.', 'após', 'falhar', 'paro', '!', 'e', 'compreu', 'uma', 'para', 'minha', 'filha', '.']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,3
"['Muito', 'bom', 'o', 'produto', ',', 'esta', 'tv', 'está', 'entre', 'as', 'das', 'ultimas', 'gerações', ',', 'muinto', 'simples', ',', 'mas', 'está', 'nas', 'ultimas', 'gerações', 'de', 'tv', '.', 'Fácil', 'de', 'usar', ',', 'muito', 'boa', 'a', 'tv']","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",3,1,1,4
"['a', 'entrega', 'foi', 'super', 'rápido', '...', 'muito', 'antes', 'do', 'prazo', ',', 'a', 'TV', 'é', 'ótima', '!', '!']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,1,1,5
"['O', 'controle', 'remoto', 'podia', 'ser', 'mais', 'anatômico', '.', 'Com', 'teclas', 'diferenciadas', 'perceptíveis', 'a', 'o', 'toque', '.']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,6
"['O', 'produto', 'é', 'muito', 'bom', ',', 'conforme', 'esperado', '.', 'Ótimos', 'recurso', '.', 'Excelente', 'imagem', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",3,1,1,7
"['Ja', 'tenho', 'smart', 'tv', 'samsung', 'e', 'não', 'troco', 'de', 'marca', 'muito', 'bom', 'produto', 'imagem', 'e', 'acessibilidade', 'a', 'internet', 'muito', 'rapida']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 2, 0, 0]",3,1,1,8
"['Somente', 'o', 'som', 'deixou', 'um', 'pouco', 'a', 'desejar', ',', 'mas', 'no', 'mais', 'tudo', 'certo']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,9
"['tv', 'muito', 'boa', ',', 'imagem', 'ótima', ',', 'internet', 'pega', 'fácil', ',', 'peca', 'apenas', 'no', 'áudio', 'muito', 'fraco', 'pelo', 'menos', 'a', 'de', '32', 'pol', '.', 'o', 'áudio', 'é', 'fraco', '...']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,1,10
"['EXCELENTE', 'PRODUTO', 'E', 'A', 'ENTREGA', 'MELHOR', 'AINDA', ',', 'ESTÁ', 'DE', 'PARABENS', 'TODOS', 'QUE', 'FAZEM', 'AS', 'AMERICANAS.COM']","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,11
"['Todos', 'os', 'aparelhos', 'samsung', 'são', 'de', 'uma', 'qualidade', 'muito', 'boa', '..', 'super', 'recomendo', '.']","[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,12
"['Atendeu', 'todas', 'as', 'expectativas', ',', 'recomendo', 'Samsung', 'top', 'de', 'tv', 'pra', 'mim', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,1,1,13
"['Rapidez', ',', 'Boa', 'qualidade', 'e', 'preocupação', 'em', 'manter', 'o', 'cliente', 'informado', 'do', 'destino', 'do', 'produto', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,14
"['ÓTIMA', 'IMAGEM', ',', 'FÁCIL', 'ACESSO', 'À', 'INTERNET', 'COM', 'WIFI', 'INTEGRADO', ',', 'YOUTUBE', ',', 'NETFLIX', '...', 'PERFEITA', '!', '!', '!']","[0, 1, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,15
"['Recomendo', 'a', 'aquisição', 'd', 'este', 'produto', '.', 'Leve', ',', 'simples', 'de', 'usar', 'e', 'de', 'alta', 'qualidade', '.', 'Som', 'e', 'imagem', 'perfeitas', '.', 'Entrega', 'muito', 'satisfatória', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",5,1,1,16
"['gostei', 'muito', 'da', 'tv', ',', 'superou', 'minhas', 'expectativas', '.', 'parabéns', 'a', 'americanas.com', 'pela', 'agilidade', 'na', 'entrega', ',', 'gastando', 'apenas', 'tres', 'dias', '.', 'estou', 'muito', 'satisfeito', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,17
"['Muito', 'bom', 'o', 'produto', ',', 'entrega', 'foi', 'feita', 'antes', 'do', 'prazo', '.', 'Parabénsss', '!', '!', '!', 'Samsung', 'e', 'lojas', 'americanas']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,18
"['Produto', 'Não', 'Deixa', 'nada', 'a', 'desejar', ',', 'exelente', ',', 'gostei', 'em', 'ter', 'comprado', 'nas', 'Américanas', '.', 'Entrega', 'no', 'prazo', ',', 'perfeito', ',', 'estão', 'de', 'parabéns', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,19
"['Eu', 'gostei', 'muito', 'da', 'tv', 'imagem', 'muito', 'boa', 'com', 'varias', 'programaçoes', '.', 'Podem', 'comprar', 'd', 'essa', 'empresa', 'porque', 'e', 'confiavel', '.', 'Nota', 'des', 'valeu', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,1,20
"['DEMAIS', 'ESSE', 'PRODUTO', ',', 'QUALIDADE', 'DA', 'IMAGEM', 'É', 'PERFEITA', '..', 'GOSTEI', 'MUITO', '!', '!']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,1,1,21
"['o', 'produto', 'é', 'bom', 'e', 'a', 'entrega', 'foi', 'feita', 'no', 'prazo', 'atendendo', 'assim', 'as', 'minhas', 'expectativas', ',', 'recomendo', 'o', 'produto', 'e', 'o', 'vendedor']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3,1,1,22
"['Produto', 'inteligente', ',', 'ativado', 'automaticamente', 'via', 'internet', ',', 'facilita', 'toda', 'a', 'programação', 'do', 'aparelho', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,23
"['Demora', 'um', 'pouco', 'para', 'responder', 'a', 'os', 'comandos', 'efetuados', 'através', 'do', 'controle', ',', 'ex', ':', 'abrir', 'o', 'smart', 'Hub', ',', 'ele', 'demora', 'um', 'pouco', 'para', 'aparecer', 'as', 'opções', 'na', 'tela', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]",2,1,1,24
"['A', 'princípio', ',', 'tudo', 'ok', '.', 'Não', 'posso', 'avaliar', 'melhor', 'porque', 'o', 'produto', 'é', 'novo', '.', 'Até', 'então', ',', 'tudo', 'funcionando', 'bem', '.', 'Assim', 'espero', 'que', 'vá', 'por', 'muito', 'tempo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,25
"['Boa', 'imagem', ',', 'smart', 'hub', 'fácil', 'de', 'usar', '.', 'O', 'áudio', 'poderia', 'ser', 'um', 'pouco', 'melhor', '.']","[0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3,1,1,26
"['amei', 'a', 'tv', 'melhor', 'do', 'que', 'eu', 'esperava', 'e', 'a', 'entrega', 'foi', 'antes', 'do', 'dia', 'ameiiiii']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2,1,1,27
"['É', 'ótima', 'essa', 'Smart', 'Tv', ',', 'estamos', 'gostando', 'bastante', 'aqui', 'em', 'casa', '.', 'Só', 'quando', 'ela', 'liga', 'tem', 'que', 'esperar', 'ela', '""', '""', 'acordar', '""', '""', 'por', 'um', 'segundo', ',', 'mas', 'isso', 'é', 'normal', '.']","[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,28
"['Produto', 'excelente', '!', '!', 'Recomendo', 'produto', 'alem', 'de', 'chegar', 'na', 'data', 'marcada', '.']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,1,1,29
"['Recomendo', ',', 'tem', 'muitas', 'funções', 'praticas', ',', 'o', 'wi-fi', 'conecta', 'rápido', '.', 'É', 'super', 'leve', 'e', 'a', 'imagem', 'espetacular', '!', '!', '!']","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",3,1,1,30
"['Maravilhosa', '.', 'Chegou', 'dentro', 'do', 'prazo', 'estipulado', ',', 'muito', 'bem', 'embalada', ',', 'Respondeu', 'à', 's', 'minhas', 'expectativas', '.', 'Eu', 'recomendo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,31
"['Muito', 'bom', 'produto', 'é', 'uma', 'Samsung', 'nao', 'precisa', 'dizer', 'mais', 'nada']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,32
"['Muito', 'bom', 'a', 'entrega', 'foi', 'bem', 'antes', 'do', 'prazo', 'estipulado', 'e', 'produto', 'foi', 'excelente', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2,1,1,33
"['e', 'tudo', 'que', 'esperava', ',', 'chegou', 'rapido', 'produto', 'muito', 'bom', 'agora', 'e', 'so', 'curtir']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,1,1,34
"['Só', 'o', 'som', 'que', 'não', 'é', 'tão', 'bom', 'quanto', ',', 'mas', 'muito', 'boa', 'a', 'TV', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1,1,35
"['Gostei', 'da', 'TV', 'tem', 'uma', 'excelente', 'resolução', 'e', 'de', 'fácil', 'uso']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",3,1,1,36
"['Prós', '-', 'Entrega', 'no', 'prazo', ',', 'em', 'perfeito', 'estado', ',', 'aparência', 'bonita', '.', 'Contras', '-', 'Laterais', 'deveriam', 'ter', 'botões', 'de', 'volume', ',', 'trocar', 'de', 'canais', ',', 'etc', '...', 'ou', 'seja', ',', 'tente', 'não', 'estragar', 'o', 'controle', 'remoto', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,1,37
"['A', 'entrega', 'foi', 'rápida', 'e', 'o', 'produto', 'é', 'muito', 'bom', ',', 'eu', 'recomendo', '.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,1,1,38
"['Samsung', 'é', 'um', 'excelente', 'produto', '.', 'Só', 'estou', 'com', 'dificuldade', 'de', 'conecão', 'wi-fi', ',', 'no', 'demais', 'linda', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]",2,1,1,39
"['Atendeu', 'há', 'todas', 'minhas', 'expectativas', ',', 'excelente', 'qualidade', ',', 'um', 'produto', 'muito', 'bom', 'mesmo', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",2,1,1,40
"['O', 'aparelho', 'é', 'bom', ',', 'o', 'som', 'é', 'só', 'configurar', 'e', 'regular', 'que', 'fica', 'bem', 'agradável', ',', 'as', 'vezes', 'trava', 'mas', 'nada', 'que', 'atrapalhe', '.', 'Até', 'então', 'estou', 'gostando', 'do', 'aparelho', 'e', 'recomendo', '.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3,1,1,41
"['Sou', 'de', 'SC', 'e', 'chegou', 'em', '4', 'dias', '....', 'A', 'entrega', 'mais', 'rápida', 'que', 'ja', 'vi', '...', 'Em', 'perfeitas', 'condições', '...', 'Parabéns', 'a', 'o', 'Shoptime', '..']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,42
"['Como', 'tenho', 'uma', ',', 'resolvi', 'comprar', 'outra', 'da', 'mesma', 'marca', '.', 'Recomendo', '.', 'Fácil', 'instalação', '.', 'Sem', 'problemas', 'com', 'frete', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",2,1,1,43
"['Um', 'ótimo', 'produto', 'e', 'excelente', 'custo', 'benefício', 'bem', 'como', 'a', 'entrega', 'realizada', 'dentro', 'do', 'prazo', '.']","[0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",3,1,1,44
"['Entrega', 'rápida', 'e', 'produto', 'de', 'boa', 'qualidade', '.', 'Recomendo', 'a', 'quem', 'tiver', 'interessado', '.']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,45
"['Muito', 'bom', 'produto', '.', 'Só', 'faltou', 'mais', 'uma', 'entrada', 'USB', '.', 'Smart', 'TV', 'eficiente', ',', 'imagem', 'ótima', ',', 'controle', 'remoto', 'simplificado', 'e', 'eficiente', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",5,1,1,46
"['Pensei', 'que', 'seria', 'mais', 'moderna', ',', 'que', 'o', 'controle', 'já', 'viria', 'com', 'tudo', 'programado', ',', 'como', 'vi', 'na', 'propaganda', ',', 'mias', 'está', 'funcionando', 'bem', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,47
"['Ótima', 'compra', '!', 'Recomendo', '!', 'Chegou', 'dentro', 'do', 'prazo', 'previsto', '.', 'Por', 'ser', 'Wi-Fi', ',', 'pensei', 'que', 'ficaria', 'travando', ',', 'mas', 'pelo', 'contrário', ',', 'funciona', 'perfeitamente', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,48
